Study Time,Success
19.55208039433063,0.0
18.78209103507001,0.0
28.37902103859816,0.0
16.08594344544673,0.0
34.03486503449832,0.0
23.663846998276284,0.0
28.461185848949665,0.0
24.013015520103274,0.0
13.404887608822538,0.0
20.623541380990073,0.0
28.34504862924667,0.0
11.42947584747455,0.0
0.12151273757198655,0.0
34.57347699022334,0.0
22.95426166880734,0.0
2.077059350403237,0.0
29.903320282087087,0.0
0.4450303317922427,0.0
4.5374149628618845,0.0
19.964783622427706,0.0
32.429530255972224,0.0
34.558126309993675,0.0
6.884639720858314,0.0
3.4305031992946553,0.0
0.53085831414382,0.0
6.13030938500871,0.0
6.39674103402676,0.0
32.437274309960884,0.0
26.072349384223735,0.0
33.79330441113073,0.0
28.314862620934168,0.0
33.06393661338593,0.0
23.575394485339054,0.0
14.239147598726136,0.0
27.72839956170226,0.0
14.178342906568798,0.0
4.70979888735236,0.0
6.099338716043255,0.0
17.401550009982447,0.0
11.956482371652791,0.0
5.987757272371345,0.0
0.5364758041625672,0.0
26.212884819073675,0.0
8.642805389372679,0.0
34.11715814402758,0.0
2.790747961231283,0.0
15.952100021430098,0.0
31.02893371960322,0.0
18.845999642325182,0.0
32.809146919620254,0.0
53.42535916388739,1.0
47.9698738435833,1.0
48.218788719562625,1.0
46.99692762437968,1.0
47.55650167161897,1.0
48.50260304443064,1.0
38.96525651687444,1.0
53.85035959834462,1.0
47.51071773323177,1.0
42.7326678470208,1.0
51.67810094609412,1.0
35.67887889688133,1.0
43.19789711305305,1.0
54.85777885691198,1.0
32.101912190259405,1.0
30.459667171620755,1.0
33.62863473298294,1.0
51.02255856998547,1.0
33.94206263256589,1.0
41.248438683442195,1.0
48.0638290588964,1.0
46.64403600880476,1.0
50.923837581327874,1.0
54.96334415943672,1.0
53.298277686138064,1.0
39.024744863985575,1.0
54.90209772830598,1.0
31.051948464689854,1.0
32.47309571321915,1.0
38.33696150944741,1.0
35.47529381974044,1.0
37.234063790640754,1.0
38.87279463570098,1.0
33.306268487634874,1.0
41.57509744279808,1.0
50.92957968234626,1.0
32.46775251580937,1.0
40.91489831803787,1.0
32.815469907725806,1.0
34.15856053522951,1.0
41.291728078414835,1.0
48.47752464495676,1.0
42.379526329771906,1.0
49.11487004033223,1.0
40.96915139056069,1.0
44.66172324813731,1.0
53.49158218050498,1.0
37.030905556321336,1.0
32.08651294350301,1.0
42.18950238652673,1.0
